keyword,total_search_volume,naver_total,naver_mobile,naver_pc,google_monthly_average,naver_competition,google_competition,google_competition_index,google_bid_low_krw,google_bid_high_krw,google_search_volume_2025_07,google_search_volume_2025_08,google_search_volume_2025_09,google_search_volume_2025_10,google_search_volume_2025_11,google_search_volume_2025_12,google_search_volume_2026_01,google_search_volume_2026_02,google_search_volume_2026_03,google_search_volume_2026_04,google_search_volume_2026_05,google_search_volume_2026_06,source_coverage,in_lesson_segment,in_local_segment,in_audience_segment,in_jobs_segment,in_parent_segment,in_naver_discovered_segment
멜로디언,6590,4190,3580,610,2400,중간,중간,50,73,447,1900,2400,2400,2400,3600,2900,1900,1600,2400,2400,2400,2400,google+naver,0,0,0,0,0,0
쉬운 피아노 악보,6450,4050,3640,410,2400,중간,낮음,8,2422,6325,2400,1900,2400,2400,2900,2900,2900,2400,2400,2400,2400,2400,google+naver,0,0,0,0,0,0
엘리제 를 위하여,6450,4050,3650,400,2400,낮음,낮음,0,0,0,2400,2400,2900,2900,3600,2900,2400,1900,2400,2400,2900,2900,google+naver,0,0,0,0,0,0
타사 키 웨딩 밴드,6260,5780,4970,810,480,중간,낮음,26,490,593,320,390,320,390,390,590,720,590,480,480,480,390,google+naver,0,0,0,0,0,0
야마하 피아노,6150,5150,4410,740,1000,높음,높음,84,96,954,880,880,880,880,1000,1000,1000,880,1000,1000,1000,1000,google+naver,0,0,0,0,0,0
업라이트 피아노,6000,4100,3390,710,1900,중간,중간,42,201,707,1900,1600,1900,1900,1900,1600,1600,1600,1900,1900,1900,1900,google+naver,0,0,0,0,0,0
라 캄파넬라,5540,2640,2350,290,2900,낮음,낮음,0,0,0,2400,2400,2900,3600,4400,2900,2400,1900,3600,3600,3600,3600,google+naver,0,0,0,0,0,0
화성학,5460,2560,2130,430,2900,높음,낮음,9,558,3380,2900,2900,2900,2900,2900,2900,2900,2400,3600,3600,3600,2900,google+naver,0,1,0,0,0,0
피아노 사이트,5250,850,570,280,4400,높음,낮음,3,1540,2962,4400,2900,4400,4400,4400,4400,2900,2400,3600,4400,4400,4400,google+naver,0,0,0,0,0,0
바이엘,5160,3260,2460,800,1900,높음,낮음,0,0,0,1900,2400,1900,1900,1900,1900,1900,1600,1900,1900,1900,1600,google+naver,0,0,0,0,0,0
성인 피아노 학원,4850,4640,4220,420,210,높음,낮음,29,920,2372,210,210,210,210,170,260,210,170,260,170,210,210,google+naver,1,0,1,0,0,0
썸머 피아노 악보,4800,3920,3540,380,880,중간,낮음,1,0,0,880,880,720,880,1000,1000,1000,880,880,880,1000,1000,google+naver,0,0,0,0,0,0
하농,4760,2360,1900,460,2400,낮음,낮음,0,0,0,1300,2400,1900,1900,1600,4400,5400,2400,2400,1900,1600,1600,google+naver,0,0,0,0,0,0
야마하 p 125,4730,4590,4020,570,140,높음,높음,82,132,403,110,140,140,140,140,170,170,140,170,140,110,110,google+naver,0,0,0,0,0,0
커즈와일,4440,3440,2780,660,1000,중간,낮음,26,344,1132,1000,1000,1000,1000,880,1000,1300,1000,1000,1900,1600,1000,google+naver,0,0,0,0,0,0
썸머 악보,4430,1530,1330,200,2900,낮음,낮음,0,0,0,3600,2400,2400,2400,2900,2900,2400,1900,2400,2900,2900,3600,google+naver,0,0,0,0,0,0
캐논 변주곡,4400,2000,1710,290,2400,중간,낮음,0,0,0,1600,1600,2400,1900,2400,2400,2900,1600,2400,2400,2400,2400,google+naver,0,0,0,0,0,0
다이나톤 전자 피아노,4400,4190,3890,300,210,중간,높음,85,107,544,140,170,140,140,140,140,260,210,210,210,260,320,google+naver,0,0,0,0,0,0
피아노 코드,4230,1830,1600,230,2400,높음,낮음,11,221,2918,2400,2400,2400,2400,2900,2400,2400,2400,2900,2400,2400,2400,google+naver,0,0,0,0,0,0
야마하 디지털 피아노,3930,3540,3030,510,390,중간,높음,100,71,555,320,390,390,320,320,390,590,320,390,390,390,390,google+naver,0,0,0,0,0,0
소나티네,3610,2010,1760,250,1600,낮음,낮음,0,0,0,1600,1900,1600,1600,2400,1600,1600,1300,1600,1600,1600,1600,google+naver,0,0,0,0,0,0
summer 피아노 악보,3580,3260,2750,510,320,중간,낮음,0,0,0,480,390,320,390,390,320,320,170,260,210,260,260,google+naver,0,0,0,0,0,0
삼익 피아노,3430,3040,2690,350,390,중간,높음,70,342,914,390,390,390,390,390,390,480,390,390,480,390,390,google+naver,0,0,0,0,0,0
쇼팽 녹턴,3390,1790,1520,270,1600,높음,낮음,2,0,0,1600,1900,1900,1900,1900,1600,1300,1300,1900,1900,1900,1900,google+naver,0,0,0,0,0,0
체르니,3320,1720,1480,240,1600,높음,낮음,1,0,0,1300,2400,1900,1600,1300,1900,1600,1300,1600,1300,1600,1300,google+naver,0,0,0,0,0,0
롤랜드 fp30x,3280,2890,2410,480,390,중간,높음,100,272,1017,320,390,390,390,390,390,480,390,390,390,390,320,google+naver,0,0,0,0,0,0
터키 행진곡,3250,1650,1440,210,1600,낮음,낮음,0,0,0,1600,1300,1600,1900,1900,1600,1300,1300,1600,1600,1900,2400,google+naver,0,0,0,0,0,0
왕벌 의 비행,3180,1580,1340,240,1600,낮음,낮음,0,0,0,1900,1600,1600,1600,1900,1600,1600,1300,1600,1900,1900,1900,google+naver,0,0,0,0,0,0
월광 소나타,3120,1520,1340,180,1600,낮음,낮음,0,0,0,1600,1600,1900,1900,1900,1600,1600,1300,1900,1600,1600,1600,google+naver,0,0,0,0,0,0
온라인 피아노,2930,530,290,240,2400,높음,낮음,1,1259,2962,1600,1600,3600,2400,2400,2400,1300,1000,2400,2900,2400,3600,google+naver,0,0,0,0,0,0
google 메트로놈,2910,10,5,5,2900,중간,낮음,0,0,0,5400,4400,2900,2400,2400,2900,2900,2900,2400,2900,2900,2900,google+naver,0,0,0,0,0,0
피아노 타일,2900,500,350,150,2400,중간,낮음,3,15,652,2400,1600,1900,1900,2400,2400,1600,1600,2400,2900,2900,2900,google+naver,0,0,0,0,0,0
다이나톤,2730,2520,2080,440,210,높음,중간,62,200,1016,260,210,210,210,210,260,260,170,210,260,210,210,google+naver,0,0,0,0,0,0
마피아 악보,2650,2330,1730,600,320,중간,낮음,0,0,0,320,390,320,320,320,320,260,260,390,320,260,320,google+naver,0,0,0,0,0,0
메트로놈 사이트,2640,1920,1410,510,720,높음,낮음,1,76,147,720,720,720,720,720,720,720,590,590,590,720,720,google+naver,0,0,0,0,0,0
피아노 연주곡,2420,1120,700,420,1300,높음,낮음,1,0,0,1600,1600,1600,1600,1600,1300,1300,1000,1300,1300,1000,1000,google+naver,0,0,0,0,0,0
피아노 의자,2380,1990,1620,370,390,중간,높음,100,147,651,390,320,390,320,260,320,320,320,480,390,480,390,google+naver,0,0,0,0,0,0
청음,2360,1480,1140,340,880,높음,낮음,0,0,0,880,880,880,880,880,880,880,880,1000,1000,1000,1300,google+naver,0,0,0,0,0,0
쉬운 기타 악보,2320,1320,1130,190,1000,높음,낮음,4,2207,4573,1000,1000,880,1000,1000,1000,1000,880,880,1000,1000,1000,google+naver,0,0,0,0,0,0
젓가락 행진곡,2280,980,840,140,1300,중간,낮음,0,0,0,1600,1300,1300,1300,1600,1600,1300,1300,1300,1600,1600,1600,google+naver,0,0,0,0,0,0
스타 인 웨이,2230,1230,940,290,1000,높음,낮음,5,313,1305,880,880,1000,1900,1300,1000,1000,1000,1300,1600,1000,1000,google+naver,0,0,0,0,0,0
커즈와일 전자 피아노,2200,2150,1950,200,50,높음,높음,96,104,724,50,40,30,70,40,70,70,70,70,50,30,30,google+naver,0,0,0,0,0,0
듀로 피아노,2190,2160,2040,120,30,높음,높음,95,199,622,40,20,30,20,30,40,30,20,20,40,20,30,google+naver,0,0,0,0,0,0
중고 피아노 매입,2080,1970,1520,450,110,높음,낮음,4,0,0,90,140,110,110,140,110,110,110,110,70,70,70,google+naver,0,0,0,0,0,0
중고 피아노 팔기,2070,2000,1770,230,70,높음,낮음,2,0,0,110,140,140,50,50,30,50,70,30,30,70,40,google+naver,0,0,0,0,0,0
피아노 앱,2050,750,550,200,1300,높음,낮음,3,238,2370,880,880,1300,1600,1600,1600,1000,880,1600,1900,1600,1900,google+naver,0,0,0,0,0,0
피아노 조율,2040,1720,1390,330,320,높음,낮음,11,659,1446,260,320,320,320,390,260,320,260,320,320,260,320,google+naver,0,0,0,0,0,0
쇼팽 콩쿠르,2020,420,360,60,1600,높음,낮음,0,0,0,720,720,880,14800,1300,720,590,480,590,720,590,390,google+naver,0,0,0,0,1,0
스타 인 웨이 피아노,2010,1620,1430,190,390,높음,낮음,4,342,974,210,260,320,390,320,390,320,320,390,480,390,480,google+naver,0,0,0,0,0,0
소녀 의 기도,1990,1110,1010,100,880,낮음,낮음,0,0,0,720,880,1000,880,880,880,720,720,720,880,1000,1000,google+naver,0,0,0,0,0,0
방과후 지도사,1950,1740,1450,290,210,높음,낮음,26,639,1809,390,480,260,170,210,260,390,140,140,170,110,140,google+naver,0,0,0,1,0,0
피아노 연주회,1860,980,850,130,880,높음,낮음,3,131,221,720,720,880,880,880,720,720,590,880,880,880,880,google+naver,0,0,0,0,0,0
피아노 종류,1860,1140,1010,130,720,높음,낮음,9,0,0,590,480,720,720,720,590,480,390,590,880,880,720,google+naver,0,0,0,0,0,0
중고 피아노,1850,1590,1350,240,260,높음,높음,72,0,0,320,390,210,260,260,320,320,210,260,210,170,210,google+naver,0,0,0,0,0,0
아드린느 를 위한 발라드,1790,910,780,130,880,낮음,낮음,2,0,0,880,880,880,880,880,720,880,880,1000,880,1600,1000,google+naver,0,0,0,0,0,0
어린이 피아노,1790,1620,1440,180,170,중간,높음,88,209,2785,140,110,140,140,170,210,170,140,170,210,210,140,google+naver,0,0,1,0,1,0
성인 피아노,1770,1510,1310,200,260,높음,낮음,13,806,2249,170,210,210,260,210,260,320,210,260,320,320,320,google+naver,0,0,1,0,0,0
체르니 30,1760,1040,910,130,720,높음,낮음,13,0,0,720,1300,720,720,720,720,720,590,880,720,880,720,google+naver,0,0,0,0,0,0
피아노 악보 사이트,1760,1170,920,250,590,높음,낮음,3,311,1899,390,320,320,390,390,720,720,590,720,720,590,720,google+naver,0,0,0,0,0,0
뮤 디스 전자 피아노,1730,1680,1560,120,50,높음,높음,100,76,352,40,50,40,40,70,90,70,50,90,40,50,50,google+naver,0,0,0,0,0,0
피아노 가격,1670,950,870,80,720,높음,높음,72,20,393,880,720,880,880,880,880,720,590,880,880,720,720,google+naver,0,0,0,0,0,0
소나티네 악보,1660,1070,970,100,590,낮음,낮음,2,0,0,590,590,590,480,480,590,720,590,720,720,590,590,google+naver,0,0,0,0,0,0
삼익 전자 피아노,1620,1530,1350,180,90,중간,높음,68,90,363,70,70,70,70,70,90,90,140,90,70,90,110,google+naver,0,0,0,0,0,0
즉흥 환상곡,1600,600,540,60,1000,낮음,낮음,0,0,0,880,880,1000,1000,1300,1000,1000,880,1300,1000,1000,1000,google+naver,0,0,0,0,0,0
유아 피아노,1550,1480,1350,130,70,중간,중간,38,34,3090,30,30,40,30,40,70,90,90,70,110,140,110,google+naver,0,0,1,0,1,0
피아노 연주,1530,650,520,130,880,높음,낮음,3,131,221,720,720,880,880,880,720,720,590,880,880,880,880,google+naver,0,0,0,0,0,0
쉬운 악보,1510,510,440,70,1000,낮음,낮음,2,0,0,1000,720,1000,1000,1600,1000,1000,880,1000,1000,1000,880,google+naver,0,0,0,0,0,0
삼익 디지털 피아노,1490,1380,1220,160,110,높음,높음,99,65,429,140,90,110,140,70,140,140,140,140,140,110,140,google+naver,0,0,0,0,0,0
flower dance 악보,1470,590,470,120,880,낮음,낮음,0,0,0,880,880,880,880,880,880,720,720,720,720,880,590,google+naver,0,0,0,0,0,0
키보드 피아노,1460,460,330,130,1000,높음,중간,43,176,2962,880,880,1000,1300,1300,1000,880,880,1000,880,1000,1000,google+naver,0,0,0,0,0,0
베토벤 비창,1420,1030,900,130,390,낮음,낮음,0,0,0,390,390,390,390,480,480,390,320,480,390,480,480,google+naver,0,0,0,0,0,0
기타 타브 악보,1400,680,550,130,720,중간,낮음,9,0,0,720,590,590,720,720,880,720,590,590,480,590,590,google+naver,0,0,0,0,0,0
그랜드 피아노 가격,1400,810,750,60,590,높음,낮음,26,55,542,590,590,590,590,720,590,590,480,590,590,590,590,google+naver,0,0,0,0,0,0
피아노 쉬운 악보,1380,790,720,70,590,중간,낮음,7,1837,5480,590,480,480,590,720,480,720,480,480,480,590,480,google+naver,0,0,0,0,0,0
피아노 학원 매매,1370,1200,770,430,170,높음,낮음,0,0,0,320,390,170,110,140,170,260,110,140,110,140,140,google+naver,1,0,0,0,0,0
은파,1360,1040,920,120,320,중간,낮음,0,0,0,390,320,320,320,320,320,260,320,320,480,320,320,google+naver,0,0,0,0,0,0
피아노 레슨,1360,1150,1000,150,210,높음,낮음,29,778,2327,260,260,210,210,260,210,260,170,260,210,260,210,google+naver,1,0,0,0,0,0
야마하 그랜드 피아노,1320,1110,920,190,210,높음,낮음,16,0,0,260,210,210,210,210,170,210,170,170,260,260,210,google+naver,0,0,0,0,0,0
피아노 연주회 곡,1310,10,5,5,1300,낮음,낮음,1,0,0,1600,1600,1600,1600,1600,1300,1300,1000,1300,1300,1000,1000,google+naver,0,0,0,0,0,0
커즈와일 ka50,1280,1140,1010,130,140,높음,높음,79,117,464,140,140,170,140,170,140,170,140,110,140,170,140,google+naver,0,0,0,0,0,0
쉬운 동요 악보,1240,980,910,70,260,낮음,낮음,3,0,0,210,260,260,260,260,260,260,210,320,320,320,260,google+naver,0,0,0,0,1,0
피아노 타일 2,1210,330,300,30,880,중간,낮음,1,59,785,480,260,320,390,480,480,720,880,880,1300,1900,1900,google+naver,0,0,0,0,0,0
피아노 음악,1200,610,430,180,590,낮음,낮음,1,0,0,720,720,590,480,480,480,480,390,590,480,480,480,google+naver,0,0,0,0,0,0
쇼팽 즉흥 환상곡,1160,680,590,90,480,낮음,낮음,0,0,0,480,480,590,480,590,390,390,390,590,590,480,720,google+naver,0,0,0,0,0,0
은파 팰리스,1160,1050,820,230,110,중간,중간,56,228,1151,140,140,170,110,70,70,110,90,90,90,50,70,google+naver,0,0,0,0,0,0
피아노 중고,1150,1100,1010,90,50,높음,높음,69,0,0,70,50,50,50,70,70,70,50,50,50,70,50,google+naver,0,0,0,0,0,0
커즈와일 ka 50,1150,1140,1010,130,10,높음,중간,59,0,0,10,10,10,10,10,10,10,10,10,10,10,10,google+naver,0,0,0,0,0,0
피아노 페달,1140,660,570,90,480,높음,낮음,18,0,0,480,590,590,590,480,480,480,390,390,590,590,480,google+naver,0,0,0,0,0,0
재즈 피아노,1110,630,520,110,480,높음,낮음,12,467,2460,480,480,590,480,590,480,480,480,480,480,480,590,google+naver,0,0,0,0,0,0
야마하 신디사이저,1110,790,630,160,320,높음,높음,87,48,429,320,320,320,320,320,390,390,320,390,320,390,390,google+naver,0,0,0,0,0,0
꾼 실용 음악 학원,1110,970,820,150,140,높음,낮음,12,1021,2854,110,90,110,90,110,170,170,170,170,170,140,140,google+naver,1,0,0,0,0,0
피아노 키보드,1100,620,520,100,480,높음,중간,57,38,407,480,480,590,590,720,590,480,390,590,590,590,590,google+naver,0,0,0,0,0,0
전자 오르간,1080,690,580,110,390,높음,높음,68,104,1229,320,320,320,390,390,480,480,320,390,390,390,390,google+naver,0,0,0,0,0,0
가와이 피아노,1080,760,660,100,320,높음,중간,62,83,333,260,260,260,480,320,260,320,480,320,320,320,320,google+naver,0,0,0,0,0,0
뮤 디스,1080,1010,870,140,70,중간,높음,73,0,0,70,70,70,70,50,90,90,90,70,70,90,50,google+naver,0,0,0,0,0,0
퀸 실용 음악 학원,1080,1030,940,90,50,중간,낮음,13,1515,3145,90,70,40,50,40,50,70,40,50,30,50,50,google+naver,1,0,0,0,0,0
베토벤 월광,1070,350,300,50,720,낮음,낮음,0,0,0,720,720,880,720,880,720,590,480,720,590,720,720,google+naver,0,0,0,0,0,0
피아노 곡,1070,480,420,60,590,낮음,낮음,3,0,0,720,590,590,590,720,590,480,480,590,720,720,590,google+naver,0,0,0,0,0,0
피아노 노래,1060,670,600,70,390,중간,낮음,0,0,0,390,320,390,320,390,390,320,320,390,390,390,390,google+naver,0,0,0,0,0,0
피아노 콩쿠르,1050,460,400,60,590,높음,낮음,0,0,0,480,480,480,480,590,590,480,590,720,590,720,590,google+naver,0,0,0,0,1,0
롤랜드 전자 피아노,1040,990,880,110,50,높음,높음,95,89,483,50,50,50,70,50,70,70,30,70,70,50,40,google+naver,0,0,0,0,0,0
피아노 운반,1030,960,810,150,70,높음,낮음,16,666,1390,90,70,50,50,70,90,90,70,90,50,50,70,google+naver,0,0,0,0,0,0
기타 악보 사이트,1020,540,360,180,480,높음,낮음,4,489,1807,480,390,390,480,390,480,480,390,480,390,390,390,google+naver,0,0,0,0,0,0
방과후 지도사 자격증,1010,920,700,220,90,높음,중간,64,688,1932,70,70,70,50,90,110,110,110,140,110,90,90,google+naver,0,0,0,1,0,0
캔들 라이트 히사이시 조,1000,950,830,120,50,낮음,낮음,0,0,0,40,70,70,50,50,110,50,50,70,40,30,40,google+naver,0,0,0,0,0,0
영창 디지털 피아노,990,900,780,120,90,높음,높음,100,88,447,50,90,50,70,50,90,90,90,110,90,90,90,google+naver,0,0,0,0,0,0
피아노 곡 추천,980,500,450,50,480,낮음,낮음,1,0,0,590,480,480,590,590,390,590,480,480,480,480,590,google+naver,0,0,0,0,0,0
프레 데 리크 쇼팽,970,90,60,30,880,낮음,낮음,0,0,0,720,720,1300,2400,1000,1300,390,390,590,480,590,720,google+naver,0,0,0,0,0,0
피아노 독학,970,580,420,160,390,높음,낮음,29,1054,5199,390,390,390,390,480,480,480,320,320,390,390,320,google+naver,1,0,0,0,0,0
커즈와일 sp6,970,710,560,150,260,높음,중간,65,144,500,210,260,260,210,210,210,320,210,260,260,260,260,google+naver,0,0,0,0,0,0
심플리 피아노,960,640,460,180,320,중간,낮음,12,1600,9160,260,210,210,210,210,210,320,320,320,480,590,590,google+naver,0,0,0,0,0,0
휴대용 피아노,960,750,640,110,210,중간,높음,100,50,412,210,170,210,210,210,210,170,170,210,390,320,260,google+naver,0,0,0,0,0,0
성인 피아노 학원 가격,960,940,820,120,20,높음,낮음,17,548,1962,20,20,20,20,20,20,20,10,20,10,20,20,google+naver,1,0,1,0,0,0
근처 피아노 학원,950,920,880,40,30,높음,낮음,21,992,2820,50,30,20,30,30,20,30,10,30,20,10,30,google+naver,1,1,0,0,0,0
피아노 키 위즈,940,350,270,80,590,중간,낮음,0,0,0,590,390,720,880,720,590,480,480,390,390,720,480,google+naver,0,0,0,0,0,0
바이엘 악보,940,680,600,80,260,낮음,낮음,11,0,0,260,260,210,260,260,260,260,170,260,260,210,210,google+naver,0,0,0,0,0,0
녹턴 악보,930,340,290,50,590,낮음,낮음,2,0,0,720,720,720,720,720,720,590,480,590,720,590,390,google+naver,0,0,0,0,0,0
커즈와일 sp7,930,720,570,150,210,높음,높음,82,196,543,210,210,170,170,170,210,210,140,210,170,260,210,google+naver,0,0,0,0,0,0
야마하 ydp 165,930,910,790,120,20,높음,높음,98,120,832,10,10,20,20,30,30,20,10,10,10,30,30,google+naver,0,0,0,0,0,0
영창 전자 피아노,920,870,780,90,50,높음,높음,96,52,494,40,40,40,50,40,70,50,50,50,70,50,50,google+naver,0,0,0,0,0,0
야마하 ydp165,920,910,790,120,10,높음,높음,97,62,584,10,10,10,10,10,20,10,10,10,10,10,20,google+naver,0,0,0,0,0,0
피아노 악보 초보,915,35,30,5,880,낮음,낮음,10,1153,6319,880,720,720,720,590,880,1000,880,880,880,1000,1000,google+naver,0,0,0,0,0,0
무료 피아노 악보,910,320,250,70,590,낮음,낮음,2,29,1824,480,590,590,480,590,590,590,480,590,590,590,480,google+naver,0,0,0,0,0,0
쉽고 간지 나는 피아노 악보,890,10,5,5,880,낮음,낮음,2,1585,2888,880,720,720,720,880,1000,1000,880,880,880,1000,1000,google+naver,0,0,0,0,0,0
뽀로로 악보,880,490,420,70,390,낮음,낮음,2,0,0,390,210,320,320,390,480,260,260,260,590,720,390,google+naver,0,0,0,0,0,0
체르니 50,880,490,440,50,390,높음,낮음,9,0,0,320,480,390,390,390,390,390,320,480,390,390,320,google+naver,0,0,0,0,0,0
피아노 커버,880,770,660,110,110,높음,높음,85,140,538,110,90,90,90,90,90,140,140,110,140,140,110,google+naver,0,0,0,0,0,0
야마하 p 115,880,830,740,90,50,높음,중간,53,264,385,40,50,50,50,40,50,70,90,70,40,50,70,google+naver,0,0,0,0,0,0
바이올린 레슨,870,660,540,120,210,높음,낮음,12,685,1863,210,320,210,140,140,210,320,170,170,210,320,210,google+naver,1,0,0,0,0,0
피아노 급수 시험,870,820,750,70,50,높음,낮음,1,0,0,50,50,50,30,50,50,70,50,70,50,50,40,google+naver,0,0,0,0,0,0
중고 피아노 판매,850,800,690,110,50,높음,중간,42,0,0,40,40,30,40,40,40,40,50,50,50,40,70,google+naver,0,0,0,0,0,0
미디 키보드,840,450,330,120,390,높음,높음,84,95,456,480,390,320,320,390,390,390,320,390,480,390,390,google+naver,0,0,0,0,0,0
피아노 중고 판매,840,770,710,60,70,높음,낮음,18,0,0,90,90,70,90,70,70,70,90,70,70,90,70,google+naver,0,0,0,0,0,0
위드 피아노 가격,820,610,530,80,210,높음,낮음,7,446,1249,210,260,140,140,140,140,170,210,260,260,260,320,google+naver,0,0,0,0,0,0
커즈와일 디지털 피아노,820,610,520,90,210,높음,높음,100,126,588,170,210,170,210,210,210,210,210,260,210,170,210,google+naver,0,0,0,0,0,0
스타 인 웨이 피아노 가격,810,220,190,30,590,높음,낮음,9,298,1143,480,590,590,880,720,720,480,480,480,720,590,480,google+naver,0,0,0,0,0,0
모던 k 실용 음악,810,800,740,60,10,중간,낮음,0,0,0,10,10,10,10,10,10,10,10,0,10,10,10,google+naver,0,0,0,0,0,0
중고 피아노 가격,800,660,560,100,140,높음,중간,51,0,0,210,260,90,90,140,170,210,70,110,110,90,110,google+naver,0,0,0,0,0,0
야마하 p45,800,660,580,80,140,높음,높음,89,151,554,140,110,140,140,140,140,140,140,170,140,140,170,google+naver,0,0,0,0,0,0
예고 입시,780,520,420,100,260,높음,낮음,0,0,0,260,210,260,390,260,210,170,170,320,260,210,260,google+naver,0,0,0,0,0,0
피아노 덮개,780,670,560,110,110,높음,높음,99,33,369,90,110,90,170,110,140,110,110,110,110,140,70,google+naver,0,0,0,0,0,0
피아노 매입,780,710,620,90,70,높음,낮음,4,0,0,90,70,50,40,70,50,70,90,90,70,50,70,google+naver,0,0,0,0,0,0
river flows in you 피아노 악보,770,450,370,80,320,낮음,낮음,1,1912,4458,210,140,110,260,210,320,320,320,390,480,590,590,google+naver,0,0,0,0,0,0
베토벤 월광 소나타,770,560,490,70,210,낮음,낮음,0,0,0,170,170,320,210,260,210,110,110,260,210,210,170,google+naver,0,0,0,0,0,0
가상 피아노 사이트,760,170,120,50,590,중간,낮음,1,0,0,320,260,390,480,590,720,720,390,1000,880,480,390,google+naver,0,0,0,0,0,0
바다 가 보이는 마을 피아노 악보,750,360,280,80,390,낮음,낮음,0,0,0,390,590,590,590,390,480,480,390,390,170,210,260,google+naver,0,0,0,0,0,0
시창 청음,740,420,330,90,320,높음,낮음,6,0,0,320,320,320,390,260,260,260,320,480,390,390,390,google+naver,0,0,0,0,0,0
고양이 춤 피아노 악보,740,670,590,80,70,낮음,낮음,0,0,0,70,70,50,40,70,70,70,70,70,90,90,70,google+naver,0,1,0,0,0,0
홍대 보컬 학원,740,700,460,240,40,높음,낮음,30,1050,4926,50,40,70,40,40,30,40,30,40,40,20,30,google+naver,1,1,0,0,0,0
커즈와일 ka90,730,620,560,60,110,높음,높음,69,148,409,140,110,110,90,90,110,110,110,140,110,140,140,google+naver,0,0,0,0,0,0
다이나톤 디지털 피아노,730,660,580,80,70,높음,높음,99,104,395,70,70,50,50,50,90,90,70,90,110,90,90,google+naver,0,0,0,0,0,0
야마하 p 45,730,660,580,80,70,높음,중간,50,64,415,40,50,70,30,40,70,70,90,70,70,70,50,google+naver,0,0,0,0,0,0
